asset_id,asset_type,manufacturer,site,rack_number,rack_unit,status,lifecycle_stage,vendor,purchase_date,unit_cost,warranty_expiry,warranty_active,age_years,utilization_pct,last_audit_date,purchase_year,days_since_audit,needs_audit
AST-22759,Optical Transceiver,Fortinet,NewYork-DC1,R04,U28,Active,End of Support,GlobalNet Supply,2018-02-27,1318.59,2023-02-26,False,7.8,33.7,2025-03-14,2018,293,True
AST-21050,Firewall,Dell,Boston-DC1,R02,U20,In Maintenance,End of Support,Infra Partners Inc,2018-02-28,17020.47,2023-02-27,False,7.8,0.0,2025-07-27,2018,158,False
AST-21616,Server,Palo Alto Networks,Boston-DC1,R16,U31,In Storage,End of Support,GlobalNet Supply,2018-02-28,7390.31,2023-02-27,False,7.8,0.0,2025-12-21,2018,11,False
AST-21838,Patch Panel,Juniper,Miami-DC1,R17,U11,Decommissioned,End of Support,NetGear Solutions,2018-03-02,598.04,2021-03-01,False,7.8,0.0,2025-05-25,2018,221,True
AST-22364,PDU,Arista,Miami-DC1,R38,U38,Active,End of Support,CoreEquip Distribution,2018-03-02,979.14,2023-03-01,False,7.8,76.3,2025-10-02,2018,91,False
AST-21879,PDU,Cisco,Chicago-DC1,R34,U26,Active,End of Support,Infra Partners Inc,2018-03-03,1686.46,2021-03-02,False,7.8,71.9,2025-04-29,2018,247,True
AST-20998,Firewall,HPE,Dallas-DC1,R38,U7,In Storage,End of Support,DataCenter Direct,2018-03-06,14517.08,2023-03-05,False,7.8,0.0,2025-01-13,2018,353,True
AST-20242,Router,Fortinet,Boston-DC1,R27,U1,Decommissioned,End of Support,NetGear Solutions,2018-03-06,14708.67,2021-03-05,False,7.8,0.0,2025-12-23,2018,9,False
AST-22359,Storage Array,HPE,Chicago-DC2,R33,U28,Active,End of Support,Infra Partners Inc,2018-03-08,32606.1,2023-03-07,False,7.8,32.4,2025-07-16,2018,169,False
AST-21614,Load Balancer,Palo Alto Networks,Denver-DC1,R20,U39,Active,End of Support,NetGear Solutions,2018-03-08,27108.01,2023-03-07,False,7.8,19.1,2025-01-26,2018,340,True
AST-21469,Patch Panel,Arista,Phoenix-DC1,R18,U22,Active,End of Support,TechServe Logistics,2018-03-09,430.6,2023-03-08,False,7.8,16.7,2025-09-21,2018,102,False
AST-22205,Patch Panel,HPE,Chicago-DC2,R29,U31,Decommissioned,End of Support,GlobalNet Supply,2018-03-11,290.12,2023-03-10,False,7.8,0.0,2025-09-30,2018,93,False
AST-22272,Switch,Juniper,Chicago-DC1,R18,U32,Active,End of Support,DataCenter Direct,2018-03-11,13386.27,2021-03-10,False,7.8,35.8,2025-05-30,2018,216,True
AST-21906,Router,Cisco,Phoenix-DC1,R26,U12,In Storage,End of Support,CoreEquip Distribution,2018-03-11,21376.62,2023-03-10,False,7.8,0.0,2025-12-30,2018,2,False
AST-22025,UPS Unit,Nokia,NewYork-DC1,R06,U37,Active,End of Support,DataCenter Direct,2018-03-11,11333.45,2023-03-10,False,7.8,62.4,2025-06-22,2018,193,True
AST-21215,Optical Transceiver,Palo Alto Networks,Phoenix-DC1,R24,U35,Active,End of Support,NetGear Solutions,2018-03-12,1509.6,2023-03-11,False,7.8,51.2,2025-11-06,2018,56,False
AST-22128,Patch Panel,Nokia,Boston-DC1,R07,U36,In Maintenance,End of Support,GlobalNet Supply,2018-03-12,371.18,2023-03-11,False,7.8,0.0,2025-08-20,2018,134,False
AST-20243,Optical Transceiver,HPE,Denver-DC1,R28,U12,Active,End of Support,DataCenter Direct,2018-03-12,1663.68,2023-03-11,False,7.8,88.4,2025-11-07,2018,55,False
AST-21625,Firewall,Cisco,Miami-DC1,R27,U1,Active,End of Support,DataCenter Direct,2018-03-12,14379.47,2023-03-11,False,7.8,84.0,2025-07-23,2018,162,False
AST-22327,Storage Array,Arista,NewYork-DC1,R31,U9,Active,End of Support,GlobalNet Supply,2018-03-15,23306.27,2023-03-14,False,7.8,61.8,2025-01-28,2018,338,True
AST-22732,Router,Arista,Miami-DC1,R10,U22,Active,End of Support,GlobalNet Supply,2018-03-15,5236.86,2021-03-14,False,7.8,16.1,2025-02-10,2018,325,True
AST-22952,Load Balancer,Fortinet,Chicago-DC1,R26,U38,Active,End of Support,DataCenter Direct,2018-03-16,10238.76,2023-03-15,False,7.8,65.7,2025-05-18,2018,228,True
AST-21281,UPS Unit,Juniper,Phoenix-DC1,R40,U19,Active,End of Support,GlobalNet Supply,2018-03-16,4210.58,2023-03-15,False,7.8,63.7,2025-01-01,2018,365,True
AST-21621,PDU,Dell,Denver-DC1,R06,U5,Active,End of Support,DataCenter Direct,2018-03-16,2510.94,2023-03-15,False,7.8,26.7,2025-10-09,2018,84,False
AST-22579,PDU,Fortinet,Denver-DC1,R25,U18,Active,End of Support,CoreEquip Distribution,2018-03-20,2740.59,2023-03-19,False,7.8,31.6,2025-03-13,2018,294,True
AST-20059,PDU,HPE,Chicago-DC2,R23,U15,Active,End of Support,NetGear Solutions,2018-03-21,630.21,2023-03-20,False,7.8,20.5,2025-02-02,2018,333,True
AST-20328,Optical Transceiver,Dell,Boston-DC1,R23,U31,Active,End of Support,Infra Partners Inc,2018-03-21,1607.45,2023-03-20,False,7.8,77.5,2025-03-28,2018,279,True
AST-21832,Storage Array,Juniper,Atlanta-DC1,R35,U36,Active,End of Support,TechServe Logistics,2018-03-22,39278.23,2023-03-21,False,7.8,80.6,2025-11-27,2018,35,False
AST-21246,Switch,Arista,Seattle-DC1,R14,U41,Active,End of Support,Infra Partners Inc,2018-03-24,12147.95,2021-03-23,False,7.8,51.8,2025-06-23,2018,192,True
AST-20060,Router,Cisco,Phoenix-DC1,R09,U31,Active,End of Support,GlobalNet Supply,2018-03-25,6352.41,2023-03-24,False,7.8,24.2,2025-01-23,2018,343,True
AST-21433,PDU,HPE,Dallas-DC1,R10,U3,Active,End of Support,DataCenter Direct,2018-03-27,2513.63,2023-03-26,False,7.8,47.8,2025-05-10,2018,236,True
AST-21441,Router,Juniper,Chicago-DC2,R04,U22,Active,End of Support,TechServe Logistics,2018-03-29,23243.78,2021-03-28,False,7.8,40.1,2025-11-15,2018,47,False
AST-20938,PDU,HPE,Boston-DC1,R28,U31,Active,End of Support,GlobalNet Supply,2018-03-30,1480.71,2023-03-29,False,7.8,75.6,2025-07-06,2018,179,False
AST-20855,Optical Transceiver,Dell,Dallas-DC1,R07,U2,Active,End of Support,GlobalNet Supply,2018-03-30,1717.19,2021-03-29,False,7.8,26.0,2025-01-19,2018,347,True
AST-21394,Storage Array,Ciena,Chicago-DC2,R04,U23,Active,End of Support,GlobalNet Supply,2018-04-01,32423.41,2023-03-31,False,7.8,84.4,2025-05-01,2018,245,True
AST-21331,Load Balancer,HPE,Miami-DC1,R27,U28,Active,End of Support,CoreEquip Distribution,2018-04-05,10622.19,2021-04-04,False,7.7,79.5,2025-06-12,2018,203,True
AST-22902,Router,Nokia,Boston-DC1,R34,U26,Active,End of Support,Infra Partners Inc,2018-04-05,23097.61,2021-04-04,False,7.7,79.5,2025-12-23,2018,9,False
AST-22269,Load Balancer,Palo Alto Networks,Chicago-DC2,R07,U28,Active,End of Support,GlobalNet Supply,2018-04-07,14631.41,2021-04-06,False,7.7,79.7,2025-02-27,2018,308,True
AST-22673,Load Balancer,Ciena,Miami-DC1,R27,U18,Active,End of Support,GlobalNet Supply,2018-04-09,29678.18,2023-04-08,False,7.7,72.2,2025-03-16,2018,291,True
AST-20575,Load Balancer,Dell,Chicago-DC1,R08,U14,Decommissioned,End of Support,TechServe Logistics,2018-04-09,21760.14,2023-04-08,False,7.7,0.0,2025-02-19,2018,316,True
AST-22361,Patch Panel,Palo Alto Networks,NewYork-DC2,R21,U2,Active,End of Support,NetGear Solutions,2018-04-09,659.17,2023-04-08,False,7.7,65.9,2025-01-22,2018,344,True
AST-20268,Storage Array,Palo Alto Networks,Dallas-DC1,R27,U6,Active,End of Support,DataCenter Direct,2018-04-11,15227.47,2023-04-10,False,7.7,81.5,2025-11-02,2018,60,False
AST-20037,Firewall,Arista,Dallas-DC1,R22,U27,Active,End of Support,NetGear Solutions,2018-04-12,15785.03,2021-04-11,False,7.7,84.1,2025-01-23,2018,343,True
AST-22620,UPS Unit,Fortinet,Denver-DC1,R38,U8,Active,End of Support,CoreEquip Distribution,2018-04-13,6646.59,2021-04-12,False,7.7,26.7,2025-01-24,2018,342,True
AST-20584,Firewall,Juniper,NewYork-DC2,R10,U13,Active,End of Support,Infra Partners Inc,2018-04-13,18479.29,2023-04-12,False,7.7,88.9,2025-07-10,2018,175,False
AST-20838,Firewall,Nokia,Chicago-DC2,R28,U5,Active,End of Support,Infra Partners Inc,2018-04-14,19649.53,2021-04-13,False,7.7,30.8,2025-08-26,2018,128,False
AST-21852,Firewall,HPE,Miami-DC1,R20,U10,In Maintenance,End of Support,NetGear Solutions,2018-04-15,11248.96,2023-04-14,False,7.7,0.0,2025-11-28,2018,34,False
AST-22535,Firewall,Fortinet,NewYork-DC2,R09,U35,Active,End of Support,DataCenter Direct,2018-04-16,13463.86,2021-04-15,False,7.7,38.1,2025-06-07,2018,208,True
AST-21150,Load Balancer,Dell,Chicago-DC1,R25,U2,Active,End of Support,TechServe Logistics,2018-04-18,19752.09,2021-04-17,False,7.7,53.6,2025-03-24,2018,283,True
AST-22009,Server,Palo Alto Networks,NewYork-DC1,R37,U41,Active,End of Support,GlobalNet Supply,2018-04-20,24346.26,2023-04-19,False,7.7,77.7,2025-04-27,2018,249,True
AST-20198,Switch,Ciena,Miami-DC1,R38,U37,In Maintenance,End of Support,DataCenter Direct,2018-04-20,7906.97,2023-04-19,False,7.7,0.0,2025-09-06,2018,117,False
AST-22991,Storage Array,Juniper,NewYork-DC2,R27,U33,Active,End of Support,CoreEquip Distribution,2018-04-20,11632.92,2021-04-19,False,7.7,87.6,2025-05-14,2018,232,True
AST-22772,Storage Array,Ciena,NewYork-DC2,R33,U29,Active,End of Support,TechServe Logistics,2018-04-21,16845.45,2023-04-20,False,7.7,15.1,2025-04-26,2018,250,True
AST-21520,PDU,Nokia,Boston-DC1,R32,U6,Active,End of Support,NetGear Solutions,2018-04-22,596.68,2023-04-21,False,7.7,35.2,2025-05-02,2018,244,True
AST-22443,Switch,Nokia,Denver-DC1,R13,U1,Active,End of Support,DataCenter Direct,2018-04-22,6555.19,2021-04-21,False,7.7,50.3,2025-11-27,2018,35,False
AST-21162,UPS Unit,HPE,Miami-DC1,R40,U28,Active,End of Support,GlobalNet Supply,2018-04-23,9257.86,2023-04-22,False,7.7,77.6,2025-05-27,2018,219,True
AST-22561,Router,Nokia,NewYork-DC1,R40,U3,Active,End of Support,GlobalNet Supply,2018-04-23,24139.37,2021-04-22,False,7.7,24.1,2025-11-23,2018,39,False
AST-21840,Router,Arista,Boston-DC1,R35,U6,Active,End of Support,CoreEquip Distribution,2018-04-23,5091.72,2023-04-22,False,7.7,44.6,2025-09-02,2018,121,False
AST-21304,PDU,HPE,Boston-DC1,R10,U38,Active,End of Support,GlobalNet Supply,2018-04-25,1958.08,2021-04-24,False,7.7,35.8,2025-12-25,2018,7,False
AST-22796,Optical Transceiver,Palo Alto Networks,Phoenix-DC1,R32,U39,Active,End of Support,TechServe Logistics,2018-04-26,1174.31,2023-04-25,False,7.7,33.2,2025-02-06,2018,329,True
AST-22748,UPS Unit,Cisco,Phoenix-DC1,R22,U36,Active,End of Support,Infra Partners Inc,2018-04-28,6217.1,2021-04-27,False,7.7,23.8,2025-07-05,2018,180,False
AST-21291,PDU,Ciena,NewYork-DC1,R40,U40,Active,End of Support,GlobalNet Supply,2018-04-29,1060.48,2023-04-28,False,7.7,94.9,2025-04-18,2018,258,True
AST-22868,Router,Cisco,Atlanta-DC1,R05,U4,Active,End of Support,NetGear Solutions,2018-04-29,19210.98,2023-04-28,False,7.7,80.2,2025-08-28,2018,126,False
AST-22434,Server,Cisco,Austin-DC1,R02,U39,In Storage,End of Support,GlobalNet Supply,2018-04-29,15945.09,2021-04-28,False,7.7,0.0,2025-08-19,2018,135,False
AST-20729,Firewall,Arista,Atlanta-DC1,R18,U36,Active,End of Support,GlobalNet Supply,2018-04-30,16634.72,2023-04-29,False,7.7,66.5,2025-10-02,2018,91,False
AST-20648,Router,Palo Alto Networks,Dallas-DC1,R05,U16,Active,End of Support,GlobalNet Supply,2018-04-30,14327.88,2023-04-29,False,7.7,62.4,2025-05-18,2018,228,True
AST-21979,Patch Panel,Palo Alto Networks,Phoenix-DC1,R35,U18,Active,End of Support,TechServe Logistics,2018-04-30,273.56,2023-04-29,False,7.7,64.6,2025-11-27,2018,35,False
AST-21084,Switch,Nokia,Miami-DC1,R01,U9,Decommissioned,End of Support,TechServe Logistics,2018-04-30,2145.76,2021-04-29,False,7.7,0.0,2025-11-08,2018,54,False
AST-20552,Server,Nokia,Dallas-DC1,R27,U27,Active,End of Support,CoreEquip Distribution,2018-05-01,31403.96,2023-04-30,False,7.7,50.4,2025-07-29,2018,156,False
AST-21285,UPS Unit,Fortinet,Boston-DC1,R11,U40,Active,End of Support,NetGear Solutions,2018-05-02,8248.63,2021-05-01,False,7.7,60.2,2025-07-04,2018,181,True
AST-21069,Load Balancer,Juniper,Phoenix-DC1,R33,U10,Active,End of Support,Infra Partners Inc,2018-05-02,8506.84,2023-05-01,False,7.7,84.3,2025-09-12,2018,111,False
AST-20594,UPS Unit,Nokia,NewYork-DC2,R23,U31,In Maintenance,End of Support,NetGear Solutions,2018-05-04,6753.34,2021-05-03,False,7.7,0.0,2025-05-09,2018,237,True
AST-22656,Switch,Juniper,Atlanta-DC1,R11,U28,Active,End of Support,CoreEquip Distribution,2018-05-05,12351.68,2023-05-04,False,7.7,38.4,2025-06-13,2018,202,True
AST-20129,Server,Ciena,Chicago-DC2,R14,U25,Active,End of Support,GlobalNet Supply,2018-05-06,27383.35,2021-05-05,False,7.7,51.3,2025-05-31,2018,215,True
AST-21592,PDU,Arista,NewYork-DC1,R08,U20,Active,End of Support,NetGear Solutions,2018-05-06,2843.99,2023-05-05,False,7.7,53.9,2025-09-02,2018,121,False
AST-20363,Optical Transceiver,Ciena,Boston-DC1,R39,U29,Active,End of Support,TechServe Logistics,2018-05-06,870.44,2021-05-05,False,7.7,91.8,2025-10-02,2018,91,False
AST-20441,Switch,Juniper,Chicago-DC1,R38,U14,In Storage,End of Support,Infra Partners Inc,2018-05-08,9315.16,2023-05-07,False,7.7,0.0,2025-12-13,2018,19,False
AST-21519,Router,Fortinet,Seattle-DC1,R25,U35,Decommissioned,End of Support,DataCenter Direct,2018-05-08,18413.89,2023-05-07,False,7.7,0.0,2025-11-11,2018,51,False
AST-20581,UPS Unit,Juniper,Dallas-DC1,R35,U11,In Storage,End of Support,DataCenter Direct,2018-05-08,11836.19,2023-05-07,False,7.7,0.0,2025-03-14,2018,293,True
